batsman,bowler,0,1,2,3,4,5,6,wickets,balls
KD Karthik,P Kumar,0.333333333333333,0.333333333333333,0.111111111111111,0,0.111111111111111,0,0.055555555555556,0.055555555555556,18
KA Pollard,PP Chawla,0.5,0.235294117647059,0.058823529411765,0,0.088235294117647,0,0.088235294117647,0.029411764705882,34
KA Pollard,Azhar Mahmood,0.416666666666667,0.416666666666667,0.083333333333333,0,0.083333333333333,0,0,0,12
KA Pollard,P Awana,0.384615384615385,0.307692307692308,0.076923076923077,0,0,0,0.076923076923077,0.153846153846154,13
Harbhajan Singh,P Awana,0.6,0,0,0,0.2,0,0,0.2,5
Harbhajan Singh,P Kumar,0.6,0,0,0,0,0,0,0.4,10
AT Rayudu,P Kumar,0.4375,0.3125,0.0625,0,0.15625,0,0.03125,0,32
NLTC Perera,P Kumar,0.125,0.375,0.125,0,0.25,0,0.125,0,8
NLTC Perera,P Awana,0.25,0.625,0,0,0,0,0.125,0,8
AT Rayudu,P Awana,0.2,0.6,0.1,0,0,0,0,0.1,10
N Saini,MM Patel,0.454545454545455,0.181818181818182,0.181818181818182,0,0.181818181818182,0,0,0,11
Mandeep Singh,MM Patel,0.285714285714286,0.285714285714286,0,0,0.428571428571429,0,0,0,7
Mandeep Singh,RP Singh,0.5,0.357142857142857,0,0,0.071428571428572,0,0,0.071428571428572,14
N Saini,RP Singh,0.529411764705882,0.294117647058824,0,0,0.176470588235294,0,0,0,17
N Saini,PP Ojha,0.285714285714286,0.285714285714286,0.142857142857143,0,0.142857142857143,0,0,0.142857142857143,7
Mandeep Singh,PP Ojha,0.166666666666667,0.833333333333333,0,0,0,0,0,0,6
Mandeep Singh,KA Pollard,0.25,0.5,0,0,0,0,0,0.25,4
N Saini,KA Pollard,0.6,0.2,0,0,0.2,0,0,0,5
SE Marsh,PP Ojha,0.3,0.45,0.05,0,0.05,0,0.1,0.05,20
Mandeep Singh,Harbhajan Singh,0.5,0.25,0.25,0,0,0,0,0,4
SE Marsh,Harbhajan Singh,0.263888888888889,0.583333333333333,0.013888888888889,0,0.097222222222222,0,0.027777777777778,0.013888888888889,72
SE Marsh,KA Pollard,0.179487179487179,0.666666666666667,0.076923076923077,0,0.051282051282051,0,0.025641025641026,0,39
DJ Hussey,Harbhajan Singh,0.16,0.72,0.04,0,0.04,0,0.04,0,25
DJ Hussey,KA Pollard,0.391304347826087,0.347826086956522,0.086956521739131,0,0.086956521739131,0,0.043478260869565,0.043478260869565,23
SE Marsh,NLTC Perera,0.25,0.5,0.125,0,0,0,0.125,0,8
DJ Hussey,NLTC Perera,0.333333333333333,0.555555555555556,0,0,0.111111111111111,0,0,0,9
SE Marsh,RP Singh,0.285714285714286,0.314285714285714,0.114285714285714,0,0.2,0,0.057142857142857,0.028571428571429,35
DJ Hussey,RP Singh,0.2,0.45,0.2,0,0.05,0,0.1,0,20
Azhar Mahmood,KA Pollard,0.333333333333333,0.5,0.166666666666667,0,0,0,0,0,6
SE Marsh,MM Patel,0.488888888888889,0.288888888888889,0.044444444444445,0,0.088888888888889,0,0.066666666666667,0.022222222222222,45
Azhar Mahmood,MM Patel,0,0.5,0.5,0,0,0,0,0,2
Azhar Mahmood,PP Ojha,0.285714285714286,0.285714285714286,0,0,0.142857142857143,0,0.142857142857143,0.142857142857143,7
DA Miller,PP Ojha,0.333333333333333,0.416666666666667,0.083333333333333,0,0.083333333333333,0,0.083333333333333,0,12
DA Miller,MM Patel,0.125,0.5,0,0,0,0,0.375,0,8
DA Miller,NLTC Perera,0,0.25,0.75,0,0,0,0,0,4
MJ Guptill,HH Pandya,0.25,0.25,0,0,0.5,0,0,0,4
WP Saha,HH Pandya,0.333333333333333,0.333333333333333,0,0,0.166666666666667,0,0.166666666666667,0,6
MJ Guptill,MJ McClenaghan,0,1,0,0,0,0,0,0,2
WP Saha,MJ McClenaghan,0.304347826086957,0.347826086956522,0.043478260869565,0,0.260869565217391,0,0,0.043478260869565,23
