bowler,cluster
M Markande,0
E Lewis,2
A Dananjaya,0
JA Behrandorff,8
L Ngidi,8
Monu Kumar,8
KM Asif,8
DR Shorey,2
MA Wood,0
JC Archer,0
MK Lomror,7
DJM Short,6
H Klaasen,2
P Chopra,2
K Gowtham,3
MM Ali,3
K Khejroliya,0
AA Joshi,8
PU Deshpande,4
NA Saini,3
JPR Scantlebury-Searles,0
Shivam Mavi,4
TK Curran,0
Shubman Gill,2
M Prasidh Krishna,0
LE Plunkett,3
PP Shaw,2
RK Singh,5
Abhishek Sharma,2
Avesh Khan,3
CJ Dala,0
S Lamichhne,8
Mujeeb Ur Rahman,0
RK Bhui,2
KK Ahmed,0
AD Hales,9
