batsman,cluster
DL Chahar,0
M Markande,0
E Lewis,3
A Dananjaya,0
JA Behrandorff,5
L Ngidi,5
Monu Kumar,5
KM Asif,5
DR Shorey,3
MA Wood,0
JC Archer,5
MK Lomror,7
DJM Short,2
H Klaasen,3
P Chopra,3
K Gowtham,2
MM Ali,0
K Khejroliya,5
AA Joshi,5
PU Deshpande,8
NA Saini,0
JPR Scantlebury-Searles,0
Shivam Mavi,7
TK Curran,0
Shubman Gill,3
M Prasidh Krishna,0
LE Plunkett,0
PP Shaw,3
RK Singh,9
Abhishek Sharma,3
Avesh Khan,2
CJ Dala,0
S Lamichhne,5
Mujeeb Ur Rahman,0
RK Bhui,3
KK Ahmed,5
AD Hales,3
