IK Pathan,2,MC Henriques,5,1,2,0,0,0,0,0,0,3
IK Pathan,2,HM Amla,4,4,2,0,0,2,0,0,0,8
IK Pathan,2,M Vohra,5,0,1,0,0,0,0,0,0,1
IK Pathan,2,EJG Morgan,5,4,1,0,0,1,0,0,0,6
IK Pathan,2,JH Kallis,5,19,16,3,0,7,0,1,2,48
IK Pathan,2,JA Morkel,4,0,6,0,0,1,0,0,0,7
IK Pathan,2,KP Pietersen,4,2,4,2,0,4,0,0,0,12
IK Pathan,2,AJ Finch,4,7,2,3,0,5,0,1,1,19
IK Pathan,2,SC Ganguly,7,19,4,1,0,6,0,2,1,33
IK Pathan,2,Mohammad Hafeez,6,6,0,0,0,0,0,1,1,8
IK Pathan,2,LR Shukla,7,1,6,0,0,0,0,0,0,7
IK Pathan,2,AB Agarkar,5,0,1,0,0,0,0,0,0,1
IK Pathan,2,ML Hayden,4,10,4,1,0,5,0,0,1,21
IK Pathan,2,LRPL Taylor,5,0,1,0,0,1,0,0,0,2
IK Pathan,2,A Nehra,6,8,1,0,0,0,0,0,1,10
IK Pathan,2,CL White,5,2,4,0,0,3,0,1,0,10
IK Pathan,2,DT Christian,5,5,7,0,0,1,0,0,0,13
IK Pathan,2,B Chipli,7,1,1,0,0,1,0,0,0,3
IK Pathan,2,A Mishra,8,1,3,2,0,0,0,0,0,6
IK Pathan,2,DW Steyn,8,2,0,2,0,1,0,0,0,5
IK Pathan,2,RE Levi,7,1,1,0,0,0,0,0,0,2
IK Pathan,2,CM Gautam,5,1,0,0,0,0,0,0,0,1
IK Pathan,2,SL Malinga,8,1,0,0,0,0,0,0,0,1
IK Pathan,2,Y Venugopal Rao,5,0,3,1,0,0,0,0,0,4
IK Pathan,2,PA Reddy,8,5,1,0,0,0,0,0,0,6
IK Pathan,2,KC Sangakkara,5,13,3,0,0,2,0,0,0,18
IK Pathan,2,R Rampaul,8,1,1,1,0,0,0,1,0,4
IK Pathan,2,MS Bisla,5,10,0,0,0,1,0,0,0,11
IK Pathan,2,MK Tiwary,5,2,14,0,0,4,0,2,1,23
IK Pathan,2,RN ten Doeschate,0,2,5,0,0,0,0,0,0,7
IK Pathan,2,S Sohal,5,3,2,0,0,3,0,0,0,8
IK Pathan,2,TM Dilshan,5,2,0,1,0,2,0,0,0,5
IK Pathan,2,L Ronchi,8,3,0,0,0,1,0,1,0,5
IK Pathan,2,MV Boucher,5,1,5,0,0,1,0,0,0,7
IK Pathan,2,DB Das,5,2,4,0,0,0,0,0,0,6
IK Pathan,2,HH Gibbs,5,3,3,1,0,1,0,0,0,8
IK Pathan,2,RP Singh,6,2,2,0,0,0,0,0,1,5
IK Pathan,2,AB McDonald,5,2,1,0,0,3,0,1,0,7
IK Pathan,2,MJ Lumb,4,5,0,0,0,6,0,0,0,11
IK Pathan,2,FY Fazal,7,1,3,0,0,2,0,0,0,6
IK Pathan,2,AC Voges,4,1,4,2,1,2,0,1,0,11
IK Pathan,2,P Dogra,8,0,1,0,0,0,0,0,0,1
IK Pathan,2,SK Warne,8,1,3,2,0,1,0,0,0,7
IK Pathan,2,VVS Laxman,7,3,4,0,0,2,0,0,0,9
IK Pathan,2,GC Smith,7,8,1,1,0,2,0,0,1,13
IK Pathan,2,M Manhas,7,2,4,2,0,1,0,0,0,9
IK Pathan,2,MD Mishra,7,2,2,0,0,1,0,0,0,5
IK Pathan,2,RJ Quiney,7,0,1,0,0,0,0,0,0,1
IK Pathan,2,Gurkeerat Singh,5,1,5,2,0,0,0,3,0,11
IK Pathan,2,KH Pandya,9,0,2,1,0,0,0,1,0,4
IK Pathan,2,GJ Bailey,5,3,3,0,0,1,0,0,0,7
IK Pathan,2,L Balaji,6,1,1,0,0,0,0,0,0,2
IK Pathan,2,SA Asnodkar,5,1,0,0,0,0,0,0,1,2
IK Pathan,2,M Rawat,6,1,3,0,0,0,0,0,0,4
IK Pathan,2,Niraj Patel,7,7,2,0,0,1,0,0,0,10
IK Pathan,2,PJ Sangwan,6,0,2,1,0,0,0,0,0,3
IK Pathan,2,DJ Jacobs,8,4,0,0,0,0,0,0,0,4
IK Pathan,2,PV Tambe,3,3,1,0,0,0,0,0,1,5
IK Pathan,2,JJ Bumrah,8,1,0,0,0,0,0,0,0,1
IK Pathan,2,AS Raut,7,0,1,0,0,0,0,0,0,1
IK Pathan,2,JDP Oram,8,3,1,0,0,0,0,1,2,7
IK Pathan,2,T Thushara,6,0,1,0,0,0,0,0,0,1
IK Pathan,2,TL Suman,5,2,5,2,0,0,0,2,0,11
IK Pathan,2,R Sathish,5,2,0,2,0,0,0,0,1,5
IK Pathan,2,CJ McKay,3,4,2,1,0,0,0,0,1,8
IK Pathan,2,S Rana,7,1,0,0,0,1,0,0,0,2
IK Pathan,2,MA Starc,7,1,0,0,0,0,0,0,0,1
IK Pathan,2,HV Patel,7,1,1,0,0,0,0,0,0,2
IK Pathan,2,DB Ravi Teja,5,4,3,0,0,0,0,0,0,7
IK Pathan,2,RR Rossouw,8,2,1,0,0,0,0,0,0,3
IK Pathan,2,A Symonds,4,2,4,1,0,1,0,1,0,9
IK Pathan,2,R Bishnoi,8,1,0,0,0,0,0,1,0,2
IK Pathan,2,A Kumble,6,2,2,0,0,1,0,0,0,5
IK Pathan,2,S Vidyut,5,3,1,0,0,1,0,0,1,6
IK Pathan,2,RE van der Merwe,7,1,2,0,0,1,0,0,0,4
IK Pathan,2,Misbah-ul-Haq,0,0,2,0,0,0,0,0,0,2
IK Pathan,2,Salman Butt,5,3,2,0,0,2,0,0,0,7
IK Pathan,2,SP Fleming,5,1,1,0,0,0,0,0,0,2
IK Pathan,2,Younis Khan,3,4,1,0,0,0,0,0,1,6
IK Pathan,2,Pankaj Singh,3,5,1,0,0,0,0,0,1,7
IK Pathan,2,WPUJC Vaas,7,2,1,1,0,0,0,0,1,5
IK Pathan,2,SP Goswami,8,7,5,0,0,1,0,0,0,13
IK Pathan,2,Shoaib Malik,7,0,2,0,0,0,0,0,0,2
IK Pathan,2,VY Mahesh,3,0,2,0,0,0,0,0,0,2
IK Pathan,2,LA Carseldine,5,0,4,1,0,2,0,0,0,7
IK Pathan,2,LJ Wright,9,2,1,0,0,0,0,0,0,3
IK Pathan,2,MN van Wyk,4,0,2,0,0,0,0,1,0,3
IK Pathan,2,Shahid Afridi,9,1,1,0,0,1,0,0,0,3
IK Pathan,2,B Sumanth,8,0,1,0,0,0,0,0,0,1
IK Pathan,2,AC Blizzard,0,6,1,0,0,0,0,0,1,8
IK Pathan,2,MF Maharoof,0,1,5,1,0,0,0,0,0,7
IK Pathan,2,MA Khote,7,0,2,0,0,0,0,0,0,2
IK Pathan,2,M Klinger,8,9,2,0,0,3,0,0,0,14
IK Pathan,2,DS Lehmann,8,3,3,0,0,0,0,0,1,7
IK Pathan,2,D Kalyankrishna,3,1,0,0,0,0,0,0,1,2
A Nehra,0,AM Rahane,5,16,15,2,0,10,0,0,0,43
A Nehra,0,R Dravid,5,17,9,0,0,6,0,0,1,33
A Nehra,0,STR Binny,5,1,3,1,1,1,0,1,0,8
A Nehra,0,BJ Hodge,5,9,2,1,0,0,0,0,2,14
A Nehra,0,AL Menaria,7,4,2,0,0,1,0,0,1,8
A Nehra,0,KK Cooper,9,1,0,1,0,0,0,0,1,3
A Nehra,0,R Shukla,6,1,1,0,0,0,0,0,0,2
A Nehra,0,DA Warner,4,2,7,1,0,4,0,0,0,14
A Nehra,0,DPMD Jayawardene,5,6,8,0,0,2,0,0,0,16
A Nehra,0,AD Russell,9,1,2,0,0,0,0,0,0,3
A Nehra,0,IK Pathan,5,5,2,0,0,1,1,0,1,10
A Nehra,0,NV Ojha,5,4,1,1,0,0,0,1,1,8
