batsman,cluster
M Markande,8
E Lewis,4
A Dananjaya,8
JA Behrandorff,5
L Ngidi,8
Monu Kumar,0
KM Asif,2
DR Shorey,5
MA Wood,8
JC Archer,0
MK Lomror,5
DJM Short,4
H Klaasen,4
P Chopra,5
K Gowtham,9
MM Ali,4
K Khejroliya,1
AA Joshi,4
PU Deshpande,4
NA Saini,6
JPR Scantlebury-Searles,7
Shivam Mavi,8
TK Curran,0
Shubman Gill,4
M Prasidh Krishna,2
LE Plunkett,0
PP Shaw,9
RK Singh,0
Abhishek Sharma,9
Avesh Khan,2
CJ Dala,7
S Lamichhne,6
Mujeeb Ur Rahman,8
RK Bhui,5
KK Ahmed,6
AD Hales,4
