0,0,617,680,156,6,199,0,119,134,1911
0,1,1,3,0,0,3,0,0,0,7
0,2,207,224,42,1,69,0,31,40,614
0,3,2,4,0,0,3,0,4,1,14
0,4,2,0,3,0,3,0,1,0,9
0,5,264,276,44,2,68,0,52,75,781
0,6,80,73,18,0,30,0,25,16,242
0,7,11,20,6,0,6,0,10,2,55
0,8,42,38,7,1,15,0,5,7,115
0,9,7,14,4,0,5,0,4,1,35
1,0,4,7,0,0,1,0,3,1,16
1,2,0,0,0,0,1,0,1,0,2
1,5,3,1,0,0,1,0,1,1,7
1,6,2,0,0,0,0,0,2,1,5
2,0,32,5,0,0,0,0,0,4,41
2,2,13,0,0,0,0,0,0,5,18
2,3,1,0,0,0,0,0,0,1,2
2,5,19,4,0,0,0,0,0,4,27
2,6,3,1,0,0,0,0,0,1,5
2,8,2,1,0,0,0,0,0,1,4
3,0,165,95,7,0,5,0,0,33,305
3,2,76,34,5,0,2,0,1,17,135
3,4,3,3,0,0,0,0,0,0,6
3,5,77,49,6,0,0,0,0,19,151
3,6,25,21,3,0,1,0,0,2,52
3,7,2,6,0,0,0,0,0,0,8
3,8,6,5,1,0,0,0,0,2,14
3,9,0,1,0,0,0,0,0,0,1
4,0,8908,9463,1668,93,2960,6,1368,1001,25467
4,1,39,25,10,0,12,0,4,2,92
4,2,3421,4196,699,33,1276,4,578,360,10567
4,3,78,125,26,1,57,0,38,1,326
4,4,59,130,19,0,48,0,20,5,281
4,5,2512,2507,469,24,863,1,413,342,7131
4,6,1270,1452,249,15,517,0,262,114,3879
4,7,172,297,46,4,79,0,49,9,656
4,8,642,786,128,6,243,1,121,47,1974
4,9,103,164,29,1,43,0,36,3,379
5,0,13102,12939,2277,122,3995,15,1198,1601,35249
5,1,29,46,10,0,20,1,12,1,119
5,2,5140,5780,954,58,1703,2,585,556,14778
5,3,103,185,23,2,65,0,14,3,395
5,4,64,139,21,0,37,1,15,4,281
5,5,3678,3458,637,32,1123,5,315,540,9788
5,6,1963,2239,384,35,706,3,250,196,5776
5,7,266,314,59,4,125,1,38,30,837
5,8,940,1123,189,9,328,0,92,67,2748
5,9,130,203,30,2,51,0,18,13,447
6,0,549,383,46,4,51,0,12,95,1140
6,2,178,166,23,1,23,0,8,29,428
6,3,1,10,1,0,0,0,0,0,12
6,4,1,3,0,0,0,0,0,0,4
6,5,196,124,16,1,26,0,3,44,410
6,6,59,44,11,2,8,0,3,10,137
6,7,16,7,3,0,2,0,0,1,29
6,8,33,18,3,0,1,0,0,3,58
6,9,2,4,0,0,0,0,0,0,6
7,0,2202,1996,367,16,571,3,134,326,5615
7,1,0,3,2,0,0,0,0,0,5
7,2,827,799,124,8,185,1,64,105,2113
7,3,37,56,6,0,14,0,7,0,120
7,4,17,22,7,0,4,0,2,2,54
7,5,556,516,102,2,125,0,55,121,1477
7,6,306,305,50,4,95,0,28,37,825
7,7,37,34,9,1,11,0,4,2,98
7,8,139,152,19,2,34,0,14,16,376
7,9,30,33,6,0,5,0,2,3,79
8,0,1289,1050,170,3,246,0,61,207,3026
8,1,1,2,0,0,0,0,0,0,3
8,2,441,411,93,5,100,0,29,57,1136
8,3,7,11,2,0,1,0,0,0,21
8,4,5,3,2,0,2,0,0,0,12
8,5,390,288,49,2,48,0,16,91,884
8,6,201,205,27,2,32,0,6,19,492
8,7,24,38,3,0,5,0,3,1,74
8,8,90,73,9,0,15,0,1,8,196
8,9,9,13,0,0,2,0,3,0,27
9,0,696,695,136,1,330,0,168,129,2155
9,2,249,268,62,1,157,1,78,44,860
9,3,5,1,3,0,5,0,4,0,18
9,4,3,3,3,0,0,0,1,1,11
9,5,270,245,62,2,115,0,46,47,787
9,6,83,105,25,1,41,0,28,10,293
9,7,8,24,4,0,10,0,10,2,58
9,8,51,37,0,0,21,0,10,7,126
9,9,5,5,0,0,4,0,1,0,15
